GENE,Num Expt,Total,Max SC,Ave SC,Frequency
CS,47,343,14,3.1,13.7
HIST1H1B,47,343,19,3.5,13.7
IMPDH2,47,343,29,4.0,13.7
KRT12,47,343,19,3.8,13.7
MARCKS,47,343,14,3.2,13.7
MYO1B,47,343,67,12.6,13.7
NOP58,47,343,42,5.9,13.7
NUDC,47,343,11,2.8,13.7
PSMC6,47,343,9,2.4,13.7
SMC1A,47,343,50,4.6,13.7
EDF1,46,343,15,3.5,13.4
FICD,46,343,5,1.7,13.4
LTBP1,46,343,22,4.0,13.4
PGAM4,46,343,12,2.4,13.4
PRPSAP1,46,343,56,6.4,13.4
RPA1,46,343,34,5.3,13.4
SRRT,46,343,43,8.2,13.4
STRAP,46,343,22,3.4,13.4
ACACA,45,343,840,62.0,13.1
ALDH18A1,45,343,57,4.9,13.1
ANKFY1,45,343,48,5.6,13.1
CDK1,45,343,27,3.8,13.1
E2F7,45,343,42,3.8,13.1
FEN1,45,343,11,2.6,13.1
HMGN2,45,343,6,2.5,13.1
KPRP,45,343,21,3.5,13.1
LIMA1,45,343,117,7.8,13.1
PPP2R2A,45,343,12,2.5,13.1
PSMA3,45,343,13,1.8,13.1
PSMD13,45,343,8,2.3,13.1
RPN2,45,343,29,3.1,13.1
S100A8,45,343,17,3.1,13.1
STRBP,45,343,15,3.8,13.1
ARGLU1,44,343,22,4.9,12.8
CCDC124,44,343,28,4.0,12.8
EMD,44,343,26,3.9,12.8
KARS,44,343,20,3.3,12.8
MTHFD1L,44,343,15,3.0,12.8
NOP2,44,343,41,7.9,12.8
PFKP,44,343,26,4.1,12.8
PGAM5,44,343,29,7.2,12.8
PHOCN,44,343,8,1.3,12.8
PRPF6,44,343,30,8.3,12.8
PSMD14,44,343,10,2.0,12.8
RPN1,44,343,36,5.1,12.8
SSRP1,44,343,46,9.1,12.8
TIMM13,44,343,21,3.5,12.8
ABCF1,43,343,20,3.3,12.5
ARF5,43,343,7,3.0,12.5
BCKDHA,43,343,25,5.9,12.5
DDX41,43,343,42,10.9,12.5
EXOSC6,43,343,5,1.7,12.5
FRG1,43,343,9,2.4,12.5
GLUD1,43,343,27,3.7,12.5
IPO8,43,343,343,26.5,12.5
LARP1,43,343,21,4.9,12.5
LMNB2,43,343,60,5.8,12.5
LRRC59,43,343,6,2.2,12.5
MSN,43,343,53,5.5,12.5
RDX,43,343,50,4.7,12.5
TRA2A,43,343,21,5.4,12.5
ACTN3,42,343,24,4.0,12.2
AGL,42,343,64,9.5,12.2
DHX30,42,343,50,12.3,12.2
EIF5B,42,343,13,2.9,12.2
FIP1L1,42,343,33,5.6,12.2
GDI1,42,343,22,3.5,12.2
KIF5B,42,343,19,5.4,12.2
MFAP1,42,343,14,4.3,12.2
PFKL,42,343,30,3.3,12.2
PSMB2,42,343,6,1.8,12.2
PSPC1,42,343,70,7.5,12.2
SARNP,42,343,6,1.5,12.2
STAU1,42,343,20,4.9,12.2
SUMO2,42,343,11,1.9,12.2
TARDBP,42,343,18,2.4,12.2
CALML5,41,343,37,3.6,12.0
EIF3H,41,343,7,2.2,12.0
EIF4H,41,343,3,1.6,12.0
FBXO31,41,343,110,11.2,12.0
PABPC1L,41,343,19,3.1,12.0
PDAP1,41,343,9,3.6,12.0
PPP2R1B,41,343,10,2.1,12.0
PRKCSH,41,343,10,2.9,12.0
PRPF38A,41,343,8,3.3,12.0
PSMB6,41,343,8,1.9,12.0
SRRM1,41,343,40,8.8,12.0
EEF1E1,40,343,5,1.6,11.7
EIF2S2,40,343,7,1.9,11.7
GNL3,40,343,63,6.2,11.7
PPIAL4A,40,343,3,1.3,11.7
PPIAL4B,40,343,3,1.3,11.7
PPIAL4C,40,343,3,1.3,11.7
RBM17,40,343,36,5.6,11.7
TMOD3,40,343,20,5.3,11.7
TXNDC12,40,343,15,3.3,11.7
ACIN1,39,343,37,12.5,11.4
ATAD3B,39,343,42,5.9,11.4
BANF1,39,343,10,3.4,11.4
CLASP2,39,343,33,4.3,11.4
COPB2,39,343,23,3.7,11.4
FXR2,39,343,40,7.7,11.4
H2AFY,39,343,41,11.7,11.4
HMGN1,39,343,4,1.7,11.4
KRT80,39,343,43,4.8,11.4
LDHAL6A,39,343,10,1.6,11.4
LDHC,39,343,10,1.6,11.4
PGD,39,343,25,4.9,11.4
POLDIP3,39,343,27,7.7,11.4
POLR2E,39,343,12,2.4,11.4
PRPF38B,39,343,19,5.3,11.4
PSMB3,39,343,7,2.3,11.4
PSMB4,39,343,10,2.4,11.4
RANGAP1,39,343,15,3.1,11.4
SART1,39,343,28,7.3,11.4
SSR4,39,343,6,2.3,11.4
SUPT16H,39,343,106,22.1,11.4
CALU,38,343,9,2.1,11.1
CASP14,38,343,8,3.3,11.1
CDC37,38,343,10,2.9,11.1
CHTOP,38,343,11,3.8,11.1
CLTA,38,343,4,1.6,11.1
COPB1,38,343,18,2.9,11.1
DYNC1I2,38,343,9,2.1,11.1
GSTP1,38,343,89,10.1,11.1
HBD,38,343,5,1.7,11.1
LSM4,38,343,6,1.9,11.1
NAP1L4,38,343,7,2.0,11.1
PPA1,38,343,16,3.2,11.1
PRRC2A,38,343,26,2.8,11.1
RBM25,38,343,44,12.1,11.1
SF3A2,38,343,10,3.6,11.1
SF3B5,38,343,6,2.1,11.1
SLC25A13,38,343,19,3.8,11.1
SMC4,38,343,26,4.7,11.1
SPTBN2,38,343,41,6.0,11.1
STMN1,38,343,7,2.3,11.1
SUMO3,38,343,6,1.6,11.1
SUMO4,38,343,6,1.6,11.1
TOP2A,38,343,119,28.4,11.1
ZYX,38,343,39,4.3,11.1
AIMP1,37,343,17,2.6,10.8
ATAD3C,37,343,28,4.1,10.8
CDC42,37,343,9,2.5,10.8
CDC5L,37,343,48,16.9,10.8
DKC1,37,343,14,3.5,10.8
EIF3D,37,343,22,3.0,10.8
GLUD2,37,343,18,3.0,10.8
HSPA4L,37,343,17,2.4,10.8
PGK2,37,343,14,2.6,10.8
PSMD7,37,343,5,2.0,10.8
RALY,37,343,20,4.5,10.8
RANBP2,37,343,26,3.9,10.8
RBM14-RBM4,37,343,8,2.7,10.8
RPA2,37,343,31,3.1,10.8
RPS29,37,343,4,1.6,10.8
SAFB,37,343,55,6.7,10.8
SEPT2,37,343,13,2.4,10.8
SMC2,37,343,33,6.4,10.8
SNRNP40,37,343,18,5.5,10.8
SNRPA,37,343,42,3.5,10.8
ARCN1,36,343,12,2.9,10.5
ARG1,36,343,25,3.4,10.5
AZGP1,36,343,15,2.9,10.5
BOLA2,36,343,6,2.2,10.5
BOLA2B,36,343,6,2.2,10.5
BYSL,36,343,5,1.7,10.5
CPSF7,36,343,26,3.9,10.5
CSTB,36,343,6,1.6,10.5
DSC1,36,343,21,5.1,10.5
EIF2S3,36,343,13,3.1,10.5
FAM133B,36,343,12,3.1,10.5
FXR1,36,343,34,9.0,10.5
GEMIN4,36,343,15,2.6,10.5
GFAP,36,343,43,3.3,10.5
HSD17B4,36,343,48,4.2,10.5
NHP2L1,36,343,8,3.0,10.5
POLR2B,36,343,65,9.2,10.5
RBM8A,36,343,10,3.1,10.5
RSRC2,36,343,14,4.0,10.5
TNPO1,36,343,9,2.4,10.5
TOP2B,36,343,55,11.1,10.5
ACAT1,35,343,21,4.1,10.2
AIMP2,35,343,11,1.6,10.2
CPNE9,35,343,70,6.7,10.2
FAM98B,35,343,9,2.3,10.2
FMR1,35,343,47,9.6,10.2
GNAI3,35,343,40,5.4,10.2
HADHA,35,343,39,6.1,10.2
IPO5,35,343,30,5.0,10.2
MOV10,35,343,29,6.1,10.2
NSUN2,35,343,15,2.8,10.2
PDIA4,35,343,42,5.3,10.2
PTMA,35,343,5,1.9,10.2
SAFB2,35,343,56,6.3,10.2
SERPINH1,35,343,32,4.0,10.2
SNRPG,35,343,5,2.1,10.2
SNW1,35,343,37,9.5,10.2
SON,35,343,94,19.0,10.2
SRPK1,35,343,11,4.1,10.2
TBR1,35,343,8,2.1,10.2
TKT,35,343,67,6.9,10.2
AP2B1,34,343,20,2.8,9.9
BASP1,34,343,35,7.9,9.9
CBR1,34,343,28,6.3,9.9
CTPS,34,343,20,4.1,9.9
DLST,34,343,5,1.7,9.9
FAM195B,34,343,5,2.1,9.9
GNB1,34,343,26,5.7,9.9
HAGH,34,343,5,2.0,9.9
HBA1,34,343,8,2.3,9.9
HBA2,34,343,8,2.3,9.9
KRT81,34,343,143,10.8,9.9
KRT86,34,343,156,12.2,9.9
MAT2A,34,343,9,2.1,9.9
NSRP1,34,343,11,2.1,9.9
PIP,34,343,7,2.3,9.9
POLD3,34,343,11,2.3,9.9
PRPF40A,34,343,30,9.8,9.9
PSMB7,34,343,6,2.1,9.9
RP9,34,343,19,6.1,9.9
SKIV2L2,34,343,25,7.5,9.9
SRP72,34,343,11,2.7,9.9
UCHL1,34,343,13,3.9,9.9
USP9X,34,343,21,3.3,9.9
ARF4,33,343,9,3.2,9.6
ATP5C1,33,343,20,3.1,9.6
CKAP4,33,343,24,3.5,9.6
CPSF1,33,343,52,15.1,9.6
CSNK2A1,33,343,12,2.3,9.6
CSTA,33,343,7,2.7,9.6
DCTN1,33,343,7,2.0,9.6
EIF3M,33,343,9,2.2,9.6
FAM98A,33,343,17,2.6,9.6
GNAI2,33,343,25,5.2,9.6
GNAS,33,343,26,4.5,9.6
GNB2,33,343,21,5.4,9.6
HMGA1,33,343,9,2.6,9.6
HNRNPUL2,33,343,97,12.1,9.6
KRT83,33,343,156,10.9,9.6
MKI67,33,343,38,15.0,9.6
MYO1D,33,343,71,13.2,9.6
OTUD4,33,343,95,18.7,9.6
SMARCA5,33,343,68,19.3,9.6
TECR,33,343,15,2.5,9.6
TLN1,33,343,72,8.2,9.6
YARS,33,343,10,2.7,9.6
AP1B1,32,343,16,2.0,9.3
ATP4A,32,343,9,1.8,9.3
CDSN,32,343,7,2.3,9.3
DDX23,32,343,27,7.5,9.3
ECH1,32,343,8,2.4,9.3
FAM133A,32,343,12,3.0,9.3
GLO1,32,343,9,2.7,9.3
HMGB2,32,343,11,3.3,9.3
HP1BP3,32,343,12,5.0,9.3
HUWE1,32,343,15,3.8,9.3
LONP1,32,343,19,2.8,9.3
NAT10,32,343,29,7.8,9.3
NUMA1,32,343,115,26.8,9.3
PABPC1L2A,32,343,9,2.3,9.3
PABPC1L2B,32,343,9,2.3,9.3
PNN,32,343,39,12.0,9.3
RBM5,32,343,33,4.5,9.3
RFC2,32,343,7,2.8,9.3
SLC25A1,32,343,14,3.0,9.3
SRP14,32,343,5,2.0,9.3
STUB1,32,343,6,2.0,9.3
TARS,32,343,29,5.1,9.3
ZNF638,32,343,24,3.2,9.3
COPG,31,343,19,3.0,9.0
CTTN,31,343,19,2.9,9.0
DDX18,31,343,27,7.0,9.0
DYNLL1,31,343,8,2.2,9.0
EBNA1BP2,31,343,34,7.7,9.0
FLG,31,343,59,5.7,9.0
GNAI1,31,343,26,4.0,9.0
HBE1,31,343,5,1.6,9.0
IPO7,31,343,14,3.8,9.0
KRT85,31,343,115,9.9,9.0
MAGOH,31,343,13,4.9,9.0
MAGOHB,31,343,13,4.9,9.0
MRTO4,31,343,13,3.9,9.0
NKAP,31,343,13,4.3,9.0
PDCD5,31,343,6,2.3,9.0
PRRC2C,31,343,30,6.3,9.0
S100A7,31,343,11,2.9,9.0
SCYL2,31,343,160,18.9,9.0
SRP68,31,343,16,3.6,9.0
YTHDF2,31,343,10,2.8,9.0
ZNF326,31,343,12,2.6,9.0
ADAR,30,343,21,4.9,8.7
BRIX1,30,343,23,4.0,8.7
CSDE1,30,343,22,2.8,8.7
CUL4B,30,343,16,3.3,8.7
DDX4,30,343,3,1.6,8.7
DPYSL2,30,343,20,3.9,8.7
ERLIN2,30,343,23,2.6,8.7
FARSA,30,343,7,2.5,8.7
G3BP2,30,343,24,4.2,8.7
GAR1,30,343,62,7.8,8.7
GLYR1,30,343,10,3.5,8.7
IMMT,30,343,72,7.3,8.7
KIF5A,30,343,8,2.1,8.7
LBR,30,343,17,2.5,8.7
PSMD4,30,343,4,1.5,8.7
RAP1B,30,343,11,3.1,8.7
RCN1,30,343,5,1.9,8.7
RFC4,30,343,7,2.8,8.7
SBSN,30,343,8,2.2,8.7
SF1,30,343,59,4.9,8.7
SLIRP,30,343,7,2.2,8.7
SUN2,30,343,206,31.3,8.7
SUPT5H,30,343,47,7.3,8.7
VCL,30,343,24,5.1,8.7
WDR18,30,343,8,3.7,8.7
ACTL6A,29,343,13,2.8,8.5
ALDOC,29,343,13,3.8,8.5
APEX1,29,343,7,2.8,8.5
ARHGDIA,29,343,10,2.5,8.5
ATP5O,29,343,9,2.7,8.5
C3,29,343,17,4.9,8.5
CBX1,29,343,14,2.5,8.5
CPSF2,29,343,21,7.2,8.5
DNAJC7,29,343,10,2.6,8.5
EIF3K,29,343,4,1.4,8.5
FAM117B,29,343,60,8.2,8.5
GNB4,29,343,11,3.8,8.5
HBG1,29,343,5,1.5,8.5
HBG2,29,343,5,1.5,8.5
KIAA1543,29,343,5,2.2,8.5
KIF5C,29,343,9,2.2,8.5
LGALS7,29,343,8,3.0,8.5
LGALS7B,29,343,8,3.0,8.5
MYO6,29,343,50,7.8,8.5
OGT,29,343,23,6.0,8.5
PARK7,29,343,10,3.0,8.5
PTPLAD1,29,343,17,2.7,8.5
RAP1A,29,343,11,3.0,8.5
RBM28,29,343,29,4.5,8.5
RCC1,29,343,5,1.8,8.5
RPL3L,29,343,10,3.0,8.5
SAP18,29,343,20,7.3,8.5
SLC1A5,29,343,7,2.1,8.5
SMU1,29,343,29,8.7,8.5
TAF4,29,343,33,7.6,8.5
UBE2N,29,343,14,3.7,8.5
VDAC1,29,343,31,5.7,8.5
WDR61,29,343,16,3.4,8.5
AARS,28,343,42,5.0,8.2
ABCE1,28,343,18,2.7,8.2
ACTR2,28,343,13,2.7,8.2
CHD4,28,343,13,3.3,8.2
CUL4A,28,343,25,4.5,8.2
FTSJ3,28,343,20,6.6,8.2
GSPT1,28,343,12,2.5,8.2
HPRT1,28,343,16,2.9,8.2
PDCD6IP,28,343,16,2.6,8.2
PEBP1,28,343,12,3.9,8.2
POLR2A,28,343,78,15.6,8.2
PPP1R12A,28,343,32,7.0,8.2
RRP1B,28,343,27,4.9,8.2
SHC1,28,343,14,2.8,8.2
SLC35G6,28,343,78,15.6,8.2
SMC3,28,343,51,7.4,8.2
STMN2,28,343,2,1.1,8.2
TAB1,28,343,54,4.4,8.2
UBE2NL,28,343,5,1.7,8.2
UPF1,28,343,44,7.3,8.2
VDAC2,28,343,51,7.0,8.2
ZCCHC17,28,343,15,4.4,8.2
ACAP2,27,343,34,5.8,7.9
ATP2A1,27,343,16,2.9,7.9
ATP5F1,27,343,8,2.0,7.9
CTSD,27,343,17,3.3,7.9
DAZAP1,27,343,18,3.3,7.9
DNAJB11,27,343,10,2.0,7.9
EXOSC2,27,343,4,1.6,7.9
EXOSC9,27,343,3,1.5,7.9
FAM32A,27,343,13,2.4,7.9
FUBP3,27,343,13,3.5,7.9
KRT33A,27,343,60,7.1,7.9
MIF,27,343,59,5.0,7.9
NCAPD2,27,343,17,3.3,7.9
PTGES3,27,343,8,2.1,7.9
RAB11A,27,343,14,2.1,7.9
RAB11B,27,343,14,2.2,7.9
RAB1B,27,343,14,3.2,7.9
RAB5C,27,343,10,2.8,7.9
RRP12,27,343,20,4.2,7.9
SEPT9,27,343,11,2.9,7.9
SERPINB12,27,343,22,3.9,7.9
SLTM,27,343,19,5.9,7.9
SMN1,27,343,4,1.7,7.9
SMN2,27,343,4,1.7,7.9
TP53,27,343,29,4.7,7.9
TPR,27,343,21,4.6,7.9
XPO5,27,343,27,2.9,7.9
ZC3H18,27,343,29,7.3,7.9
ANP32A,26,343,7,2.2,7.6
ANXA1,26,343,11,2.6,7.6
ANXA5,26,343,25,3.7,7.6
AP3D1,26,343,14,1.9,7.6
BMS1,26,343,44,5.1,7.6
CAT,26,343,14,3.0,7.6
CDC73,26,343,33,7.4,7.6
EXOSC8,26,343,3,1.3,7.6
FHL1,26,343,13,3.0,7.6
FSCN1,26,343,25,3.7,7.6
GTPBP4,26,343,23,6.6,7.6
HCFC1,26,343,28,7.7,7.6
HDLBP,26,343,27,5.1,7.6
KRT34,26,343,42,5.8,7.6
MAP4,26,343,24,4.2,7.6
PHF5A,26,343,9,2.5,7.6
PPIG,26,343,16,6.2,7.6
PSME3,26,343,7,2.1,7.6
RHOA,26,343,6,1.9,7.6
RPA3,26,343,10,2.7,7.6
SERPINB3,26,343,43,5.4,7.6
SLC25A11,26,343,18,3.8,7.6
SPIN2A,26,343,11,3.4,7.6
SPIN2B,26,343,11,3.4,7.6
STOML2,26,343,20,3.6,7.6
UBA2,26,343,12,3.1,7.6
UBE2M,26,343,4,1.2,7.6
USP39,26,343,8,3.5,7.6
ACTR3,25,343,17,3.8,7.3
ARPC4,25,343,5,2.0,7.3
ATP1A4,25,343,15,3.2,7.3
BLMH,25,343,16,2.3,7.3
CPSF3,25,343,15,4.2,7.3
DDOST,25,343,17,4.3,7.3
DDX47,25,343,7,2.4,7.3
DHX16,25,343,16,4.0,7.3
DIABLO,25,343,10,3.2,7.3
DLAT,25,343,8,2.6,7.3
DPYSL3,25,343,13,3.8,7.3
DSTN,25,343,6,1.7,7.3
ETF1,25,343,8,2.2,7.3
EXOSC10,25,343,14,2.7,7.3
FABP5,25,343,9,2.7,7.3
GNAO1,25,343,13,2.0,7.3
GSN,25,343,33,4.1,7.3
H2AFY2,25,343,25,5.5,7.3
KCTD5,25,343,54,7.0,7.3
KPNA4,25,343,25,4.4,7.3
LAS1L,25,343,14,3.7,7.3
LTF,25,343,16,3.5,7.3
MSH6,25,343,19,3.1,7.3
MYO1A,25,343,11,2.7,7.3
PDHA1,25,343,5,2.0,7.3
PES1,25,343,17,4.1,7.3
RAB1A,25,343,14,3.2,7.3
SAE1,25,343,8,2.4,7.3
SRPK2,25,343,13,3.6,7.3
SRSF12,25,343,7,2.7,7.3
USO1,25,343,18,2.8,7.3
USP7,25,343,17,2.9,7.3
WDR33,25,343,45,9.0,7.3
ADD1,24,343,20,4.5,7.0
AQR,24,343,37,10.7,7.0
ARPC4-TTLL3,24,343,5,1.9,7.0
CACYBP,24,343,11,3.5,7.0
CBR3,24,343,11,3.0,7.0
CDK2,24,343,5,1.8,7.0
CSRP2,24,343,3,1.7,7.0
CUL1,24,343,19,4.3,7.0
DDX27,24,343,27,7.5,7.0
DDX54,24,343,12,4.3,7.0
EPM2A,24,343,8,2.6,7.0
GNAT1,24,343,11,2.1,7.0
GNAT2,24,343,11,2.1,7.0
GNAT3,24,343,11,2.1,7.0
MGA,24,343,46,4.7,7.0
MYO5A,24,343,29,5.8,7.0
PABPN1,24,343,6,1.7,7.0
POLR2H,24,343,11,2.6,7.0
PPP2R2D,24,343,6,1.7,7.0
PRPF3,24,343,19,7.5,7.0
SEPT11,24,343,7,2.0,7.0
SEPT7,24,343,7,2.2,7.0
SMARCA1,24,343,34,11.6,7.0
SMARCC1,24,343,13,3.2,7.0
SMARCC2,24,343,15,3.5,7.0
SUPT6H,24,343,85,15.4,7.0
SYMPK,24,343,37,6.9,7.0
TGM3,24,343,23,4.4,7.0
TSR1,24,343,7,2.5,7.0
VPS35,24,343,25,3.1,7.0
WDR82,24,343,88,12.6,7.0
ACACB,23,343,144,19.7,6.7
AKAP8,23,343,4,1.6,6.7
BOP1,23,343,20,5.7,6.7
C4A,23,343,13,2.2,6.7
CALD1,23,343,27,7.3,6.7
CCDC86,23,343,10,2.1,6.7
CDK3,23,343,5,1.7,6.7
CLIC1,23,343,10,2.9,6.7
COIL,23,343,9,2.2,6.7
CYFIP2,23,343,16,2.3,6.7
DEK,23,343,4,2.1,6.7
DRG1,23,343,8,2.7,6.7
GNG12,23,343,6,2.1,6.7
H1F0,23,343,71,6.8,6.7
HADHB,23,343,22,4.7,6.7
HYOU1,23,343,47,4.9,6.7
MAGED1,23,343,19,4.0,6.7
NCBP1,23,343,26,9.3,6.7
PDCD11,23,343,59,9.5,6.7
PDHB,23,343,9,2.3,6.7
PNP,23,343,14,3.8,6.7
POLR1C,23,343,7,2.8,6.7
PPHLN1,23,343,11,2.6,6.7
PRPF4,23,343,16,6.8,6.7
PSIP1,23,343,10,2.3,6.7
RNH1,23,343,300,26.2,6.7
SLU7,23,343,5,1.6,6.7
TGM1,23,343,20,3.5,6.7
THOC2,23,343,26,6.2,6.7
TIAL1,23,343,8,2.4,6.7
TNRC6B,23,343,10,3.0,6.7
TOP1MT,23,343,6,2.8,6.7
WTAP,23,343,16,4.7,6.7
ZFR,23,343,39,6.3,6.7
API5,22,343,35,5.0,6.4
ATIC,22,343,30,5.7,6.4
ATP2A3,22,343,20,3.5,6.4
ATP6V1A,22,343,19,3.1,6.4
BCAP31,22,343,6,1.6,6.4
BUD31,22,343,18,4.5,6.4
C19orf43,22,343,5,1.9,6.4
CDK9,22,343,5,1.7,6.4
CENPV,22,343,10,2.3,6.4
CYFIP1,22,343,22,2.8,6.4
DHX8,22,343,27,10.7,6.4
DIDO1,22,343,45,6.1,6.4
EIF2C2,22,343,17,5.5,6.4
FUBP1,22,343,13,2.7,6.4
GLTSCR2,22,343,4,1.8,6.4
IKBKAP,22,343,15,2.1,6.4
KPNA1,22,343,7,1.7,6.4
KPNA6,22,343,6,2.0,6.4
LRRC47,22,343,7,2.1,6.4
LYAR,22,343,4,2.3,6.4
MARCKSL1,22,343,9,2.7,6.4
MDH1,22,343,8,3.5,6.4
NCAPG,22,343,18,3.4,6.4
NPEPPS,22,343,44,6.4,6.4
NUCKS1,22,343,6,2.1,6.4
NXF1,22,343,14,2.2,6.4
PFN2,22,343,4,1.5,6.4
PLRG1,22,343,25,5.2,6.4
PWP1,22,343,5,2.0,6.4
RAB5A,22,343,5,1.6,6.4
RBM15,22,343,36,14.0,6.4
RDBP,22,343,4,1.5,6.4
RFC1,22,343,13,4.9,6.4
RFC3,22,343,4,1.6,6.4
RIF1,22,343,83,10.0,6.4
SCAF11,22,343,27,5.5,6.4
SDHA,22,343,22,3.2,6.4
SPTB,22,343,11,3.1,6.4
TALDO1,22,343,7,2.5,6.4
TBL3,22,343,26,6.9,6.4
TCERG1,22,343,8,2.5,6.4
TMOD2,22,343,6,2.2,6.4
TXNL1,22,343,4,1.3,6.4
AURKB,21,343,18,4.6,6.1
BAZ1B,21,343,50,13.4,6.1
BCAS2,21,343,18,7.5,6.1
BSG,21,343,6,2.4,6.1
CEBPZ,21,343,15,4.9,6.1
CTNNB1,21,343,26,4.1,6.1
DIAPH1,21,343,9,2.0,6.1
DPY30,21,343,8,2.2,6.1
FKBP3,21,343,7,2.7,6.1
FLII,21,343,11,2.5,6.1
GARS,21,343,21,2.9,6.1
GCFC1,21,343,39,13.1,6.1
GNAL,21,343,8,2.0,6.1
GNB3,21,343,11,2.9,6.1
GOT2,21,343,21,6.5,6.1
GTF2F1,21,343,4,1.7,6.1
HN1L,21,343,3,1.4,6.1
KLC2,21,343,8,1.8,6.1
KRT82,21,343,39,4.0,6.1
LCN1,21,343,17,2.0,6.1
MACF1,21,343,29,3.6,6.1
MAGED2,21,343,12,3.1,6.1
MRE11A,21,343,13,3.8,6.1
MYO19,21,343,11,2.5,6.1
OLA1,21,343,17,3.2,6.1
PHF6,21,343,4,1.9,6.1
PKP1,21,343,20,3.2,6.1
POLR2C,21,343,10,3.0,6.1
PSMD8,21,343,6,1.5,6.1
PSME1,21,343,13,2.2,6.1
RAB5B,21,343,6,1.7,6.1
RAB7A,21,343,8,2.5,6.1
RFC5,21,343,5,2.4,6.1
S100A11,21,343,9,2.1,6.1
SLC25A12,21,343,13,2.6,6.1
SMARCA4,21,343,15,3.3,6.1
SNAP23,21,343,15,4.3,6.1
SPAG9,21,343,25,3.0,6.1
TFIP11,21,343,38,14.3,6.1
TFRC,21,343,23,2.8,6.1
TIA1,21,343,4,1.6,6.1
TIMM8A,21,343,16,3.2,6.1
TPP2,21,343,14,2.8,6.1
TUBG1,21,343,4,1.7,6.1
UBR4,21,343,7,2.2,6.1
UQCRC2,21,343,20,4.2,6.1
USP14,21,343,9,2.0,6.1
WDR1,21,343,18,3.5,6.1
WDR36,21,343,28,6.6,6.1
ABLIM1,20,343,15,3.6,5.8
AKAP8L,20,343,5,1.8,5.8
AP3B1,20,343,12,2.0,5.8
ATP5J2-PTCD1,20,343,6,1.7,5.8
BCKDK,20,343,7,2.6,5.8
C4B,20,343,12,2.2,5.8
C5,20,343,22,5.8,5.8
CAPN1,20,343,13,2.1,5.8
CBX5,20,343,13,3.6,5.8
CCDC137,20,343,7,1.7,5.8
CDK12,20,343,10,2.4,5.8
COPS4,20,343,8,2.0,5.8
CRMP1,20,343,7,1.8,5.8
CRNKL1,20,343,28,8.5,5.8
CSTF2,20,343,23,5.0,5.8
CSTF2T,20,343,13,3.8,5.8
CWC25,20,343,12,3.4,5.8
DDX42,20,343,38,5.7,5.8
DDX56,20,343,7,2.2,5.8
DYNC1LI1,20,343,4,1.6,5.8
ENSA,20,343,4,1.3,5.8
EPB41L3,20,343,11,2.9,5.8
ERLIN1,20,343,9,2.0,5.8
HTATSF1,20,343,14,2.7,5.8
IK,20,343,18,8.1,5.8
KIF23,20,343,7,2.8,5.8
KLC1,20,343,7,2.1,5.8
MAPRE1,20,343,5,2.2,5.8
MPRIP,20,343,37,9.3,5.8
NAMPT,20,343,10,3.5,5.8
PLS3,20,343,36,8.5,5.8
PTCD1,20,343,6,1.7,5.8
RBM27,20,343,60,6.0,5.8
ROD1,20,343,7,1.9,5.8
RRBP1,20,343,11,3.8,5.8
SEC13,20,343,6,2.0,5.8
ZC3H11A,20,343,7,2.2,5.8
BAG6,19,343,10,2.3,5.5
BCKDHB,19,343,8,3.7,5.5
C1orf68,19,343,11,2.3,5.5
CALML3,19,343,6,1.8,5.5
CCDC72,19,343,10,2.7,5.5
CDK11A,19,343,20,4.1,5.5
CIR1,19,343,11,4.5,5.5
CNOT1,19,343,37,3.8,5.5
COPE,19,343,4,1.9,5.5
DDX20,19,343,15,3.2,5.5
DNA2,19,343,5,1.9,5.5
DNAJC9,19,343,8,1.8,5.5
DNM2,19,343,12,2.5,5.5
DOCK4,19,343,150,55.7,5.5
ELMO2,19,343,28,7.5,5.5
ESYT1,19,343,27,3.5,5.5
GMPS,19,343,29,5.4,5.5
GRWD1,19,343,9,2.2,5.5
INCENP,19,343,27,5.2,5.5
KIAA0368,19,343,12,2.3,5.5
KRT23,19,343,5,1.8,5.5
LGALS1,19,343,27,3.7,5.5
LSM2,19,343,4,2.0,5.5
MOBKL1A,19,343,5,2.0,5.5
MOBKL1B,19,343,5,2.0,5.5
MRPS34,19,343,6,2.2,5.5
MSH2,19,343,27,2.9,5.5
MYO5B,19,343,140,13.3,5.5
NAA15,19,343,15,2.2,5.5
NKRF,19,343,17,5.4,5.5
NUP93,19,343,17,5.9,5.5
PABPC5,19,343,9,2.2,5.5
PAF1,19,343,22,5.9,5.5
PFAS,19,343,28,3.2,5.5
PGRMC1,19,343,4,1.7,5.5
PHRF1,19,343,10,3.4,5.5
PKP2,19,343,41,5.8,5.5
PRKRA,19,343,7,2.7,5.5
RAD50,19,343,40,9.0,5.5
RBM22,19,343,16,5.9,5.5
RBM6,19,343,17,3.8,5.5
RHOC,19,343,6,1.7,5.5
RRP15,19,343,5,2.2,5.5
RTN4,19,343,5,1.9,5.5
SOD1,19,343,6,2.1,5.5
SREK1,19,343,28,10.4,5.5
SRPK3,19,343,4,1.3,5.5
STAU2,19,343,10,2.7,5.5
TAGLN3,19,343,2,1.2,5.5
TBC1D10C,19,343,6,1.9,5.5
TERF2IP,19,343,33,7.4,5.5
TFG,19,343,23,5.1,5.5
TNPO2,19,343,6,1.6,5.5
TRMT1L,19,343,5,2.5,5.5
