Official Symbol Interactor A,Official Symbol Interactor B
PDK2,PDHX
SPNS1,BCL2
SPNS1,BCL2L1
KCNA5,KCNA2
AGRP,MC4R
PIAS4,SMAD6
PIAS4,SMAD2
PIAS4,SMAD3
PIAS4,SMAD4
PIAS4,SMAD6
PIAS4,SMAD7
SKP2,CKS1B
CKS1B,SKP2
SKP2,CDKN1B
CKS1B,CDKN1B
HSF1,HSF2
HSF1,HSF2
DISC1,ATF5
DISC1,ATF7IP
DISC1,COL4A1
DISC1,EIF3A
DISC1,Cep63
DISC1,CCDC141
DISC1,RASSF7
DISC1,ITSN1
DISC1,KIAA1377
DISC1,TRAF3IP1
DISC1,MYO1A
DISC1,NDEL1
DISC1,RANBP9
DISC1,ACTN2
DISC1,ATF5
DISC1,EIF3A
DISC1,Cep63
DISC1,NDEL1
DISC1,MAP1A
DISC1,TRAF3IP1
DISC1,RANBP9
DISC1,SPTBN4
DISC1,SYNE1
FKBP1A,DHFR
APOE,PLTP
DGKH,DGKH
DGKH,DGKH
DGKH,DGKD
DCC,NTN1
UNC5A,NTN1
CDK1,NSFL1C
VCP,NSFL1C
NSFL1C,VCP
SPOCK2,SPOCK3
SPOCK3,SPOCK2
SIAH1,PEG10
PEG10,SIAH2
AR,PSPC1
AR,NONO
AR,NONO
AR,NONO
AR,NCOA2
AR,CREBBP
HOMER1,RYR1
KIF4A,HMG20B
HMG20B,KIF4A
KIF4A,HMG20B
PKD2L1,TNNI3
PKD2L1,TNNI1
PKD2L1,TNNI3
BAX,OYE2
BAX,OYE2
SLC9A1,TESC
SLC9A1,CALM1
ST7,ZFYVE9
ST7,MYOT
ST7,ACTN2
ST7,SNAPIN
ST7,ITGB1BP3
ST7,GNB2L1
ST7,ITGB1BP3
ST7,ZFYVE9
TRPV1,CALM1
TRPV1,CALM1
MLLT4,BCR
MLLT4,BCR
BCR,MLLT4
MLLT4,NRAS
CTNNB1,PTPN14
PTPN14,CTNNB1
PTPN14,CTNNA1
PTPN14,TJP1
PTPN14,JUP
HEM12,CFH
GPM1,CFH
NCL1,CFH
HIP1,CFH
PEP8,VPS35
TJP1,GJA8
TJP1,GJA3
TJP1,GJA3
TJP1,GJA8
S100P,EZR
S100P,EZR
ANP32A,MAP1B
SNAP91,EPS15
APOH,LRP8
VCP,VCP
KCNC2,KCNC1
ANK3,KCNC1
DAB2,DVL3
DAB2,DVL2
DAB2,DVL1
DVL3,DAB2
DVL2,DAB2
DAB2,AXIN1
AXIN1,CTNNB1
AXIN1,DVL3
STK11,STRADA
STK11,STRADA
STK11,STRADA
STK11,STRADA
GAP43,PLCD1
SRI,GCA
SRI,GCA
SRI,ALG2
GCA,SRI
S100A1,PYGM
S100A1,GJA1
S100A1,ATP2A2
S100A1,PLB1
ADORA2A,DRD2
ADORA2A,ADORA2A
ADORA2A,DRD2
TPR,NUP98
TPR,NUP107
TPR,NUP205
TPR,NUP93
TPR,NUP153
TPR,NUP153
TPR,NUP153
TSG101,HGS
TSG101,HGS
HGS,TSG101
SYT16,SYT16
SYT16,SYT14
TRAF4,RPS6KB1
AR,TCF4
ARF1,CHRM3
ARF6,CHRM3
ARF1,CHRM3
ARF6,CHRM3
FZR1,CDC27
NDEL1,YWHAE
NDEL1,PAFAH1B1
NDEL1,PAFAH1B1
NDEL1,YWHAE
NDEL1,YWHAE
BTLA,PTPN11
FLT1,KDR
PEA15,RPS6KA3
PEA15,RPS6KA3
RPS6KA3,PEA15
NDFIP2,NEDD4
NDFIP2,NEDD4
HLA-C,HLA-C
SMAD4,SMAD3
SMAD4,SMAD2
GSK3B,NOTCH2
NOTCH2,GSK3B
GSK3B,NOTCH2
MAPK1,CASP9
AKT1,TRIB3
TRIB3,AKT1
NGFR,FSCN1
NGFR,FSCN1
NGFR,FSCN1
SHC1,LRP1
SHC1,LRP1
PPP1R8,EED
EED,PPP1R8
PPP1R8,EED
PPP1CA,EED
PPP1CA,PPP1R8
PPP1R8,HDAC2
PPP1R8,HDAC2
YY1,SAP30
YY1,SAP30
SAP30,YY1
YY1,SAP30
SAP30,HDAC1
FYN,ARHGAP32
ARHGAP32,FYN
ARHGAP32,FYN
RAB1A,GOLGA2
RAB1A,MICAL1
RAB1A,RABIF
MICAL1,RAB1A
F3,F7
DNTT,DNTTIP2
DNTTIP2,DNTT
DNTTIP2,HIST3H2A
DNTTIP2,HIST1H2BA
DNTTIP2,HIST2H3A
DNTTIP2,HIST4H4
WDR7,DMXL2
DMXL2,WDR7
RAB3GAP1,WDR7
RAB3GAP1,DMXL2
PARK2,AIMP2
PARK2,AIMP2
IL1RAPL1,NCS1
IL1RAPL1,NCS1
CXCR3,CXCL10
CXCR3,PF4
CXCR3,CXCL9
CXCR3,CXCL11
CD74,MIF
CD74,MIF
NR5A1,NRIP1
EMP2,EPM2AIP1
ABL1,CAT
CAT,ABL1
CAT,ABL2
ABL2,CAT
ABL1,CAT
ABL2,CAT
ABL1,CAT
ABL2,CAT
BCOR,MLLT3
MLLT3,BCOR
KAT5,MYC
MYC,KAT5
RALBP1,CCNB1
RALBP1,CCNB1
RALBP1,NUMB
RALBP1,GTF3A
RALBP1,EPN1
EPN1,GTF3A
CARD6,NOD1
CARD6,RIPK2
CARD6,NA
CARD6,CARD8
ARHGEF15,EPHA4
ERAS,PIK3CG
ERAS,RAF1
PML,TOPBP1
TOPBP1,PML
RHOA,ROCK1
RHOA,PKN1
RHOA,DIAPH1
RND3,ROCK1
RHOA,CIT
RHOA,CIT
RHOA,ROCK1
RHOA,PKN1
RHOA,RHPN2
RHOA,DIAPH1
RHOA,KTN1
RND3,CIT
RHOA,ROCK1
NR3C1,NRIP1
NRIP1,NR3C1
CREB1,CEBPB
CEBPB,CREB1
CREB1,CEBPB
KTN1,EEF1D
KTN1,EEF1D
STXBP3,STX4
STXBP3,STX2
STXBP3,SNAP23
STXBP1,STX2
STXBP1,STX4
STX2,STXBP3
STX4,STXBP3
MCM4,MCM8
MCM6,MCM8
MCM7,MCM8
GRB10,GIGYF1
GRB10,GIGYF1
ANXA5,ITGB5
ITGB5,ANXA5
POT1,TERF1
TINF2,POT1
POT1,TINF2
POT1,TNKS
BAX,VDAC1
BCL2L1,VDAC1
LTF,MUC7
DSCC1,CHTF18
CHTF18,DSCC1
CHTF8,CHTF18
CHTF8,DSCC1
DSCC1,RFC2
CHTF18,RFC2
CHTF8,RFC2
RFC2,CHTF18
RFC3,PCNA
RFC3,CHTF18
RHOA,ITPR1
RHOA,TRPC1
RHOA,ITPR1
RHOA,TRPC1
CHEK1,CLSPN
CHEK1,CLSPN
ATR,CLSPN
RAD9A,CLSPN
TP73,GNB2L1
GNB2L1,TP73
GNB2L1,TP73
TP73,GNB2L1
TP73,RB1
GNB2L1,RB1
EBP,EBPL
REC8,SMC1A
REC8,SMC3
REC8,SYCP3
SMC1A,SYCP3
SMC1A,SMC3
SMC3,SMC1A
SMC3,SYCP3
SMC3,REC8
PVR,PVRL3
PML,MDM2
PML,MDM2
COIL,ATXN1
ATXN1,COIL
ATXN1,COIL
CHEK1,TP53
PRKDC,TP53
CHEK1,XRCC6
XRCC6,CHEK1
CHEK1,XRCC5
EMD,LMNA
EMD,YTHDC1
EMD,LPL
EMD,VAV1
EMD,PSME1
EMD,PSME1
EMD,YTHDC1
EMD,LMNA
EMD,YTHDC1
KIN,RPA2
KIN,RPA1
GALNT4,MUC1
ROR2,MAGED1
PDZK1,PDZK1IP1
PDZK1,PDZK1IP1
ARHGEF1,PIK3CA
PIK3CA,ARHGEF1
PLD2,GAPDH
PLD2,GAPDH
MLLT10,Tuba1a
IGSF8,CD82
ING4,EP300
ING5,EP300
EP300,ING4
EP300,ING5
ING4,TP53
ING5,TP53
TP53,ING4
TP53,ING5
LEF1,UBTF
CTNNB1,LEF1
GNA15,TTC1
GNA15,TTC1
TTC1,GNA15
TTC1,GNAQ
TTC1,GNAS
TTC1,GNA15
TTC1,GNAI2
TTC1,HRAS
GPSM2,GNAI2
GPSM2,HRAS
EBF1,CREBBP
EBF1,CREBBP
E2F1,PKIB
E2F1,CREBBP
E2F1,TEAD3
E2F1,MYBL2
E2F1,SPIB
E2F1,MGA
E2F2,SPIB
E2F3,TFE3
E2F3,WNK1
E2F3,PKIB
E2F3,CREBBP
E2F3,TEAD3
E2F3,MYBL2
E2F3,MGA
E2F3,SPIB
E2F4,MGA
E2F4,SPIB
E2F3,TFE3
E2F3,TFE3
RELA,RNF25
RNF25,RELA
RNF25,RELA
ARHGEF1,CD44
CD44,ARHGEF1
ARHGEF1,RHOA
ROCK1,GAB1
ADCY6,CHRNA7
IL1A,S100A13
SUGT1,S100A6
SUGT1,S100A6
SUGT1,SKP1
S100A6,SUGT1
TIMM8A,STAM
STAM,TIMM8A
ATF4,TRIB3
ETS1,TDP2
ETS1,TDP2
TDP2,ETS1
TDP2,ETS1
KCNJ3,GNB1
NCAM1,PRKCB
ZEB1,SMAD2
ZEB1,SMAD3
ZEB1,SMAD1
APH1A,PSENEN
AKAP8,MCM2
MCM2,AKAP8
AKAP8,MCM2
MCM2,AKAP8
DLG3,EXOC4
DLG3,EXOC4
EXOC3,EXOC4
EXOC3,DLG3
EXOC4,DLG3
EXOC4,EXOC3
DLG3,EXOC3
DLG3,EXOC4
DLG3,GRIN2B
GRIN2B,DLG4
GRIN2B,DLG3
GRIN2B,EXOC4
GRIN2B,EXOC3
EXOC4,DLG4
EXOC4,GRIN2B
EXOC7,DLG3
EXOC7,GRIN2B
EXOC7,EXOC4
PRMT1,PRMT1
TRIB3,RELA
RELA,TRIB3
IGFBP3,COL1A1
COL1A1,IGFBP3
IGF1,IGFBP3
GHR,SGTA
SGTA,GHR
GHR,SGTA
IL27RA,STAT1
IL27RA,JAK1
IL27RA,STAT1
BRCA1,BARD1
GTF2F1,FCP1
KRAS,RASSF2
RASSF2,KRAS
CLTC,DNAJC6
PLXNB1,RND1
PLXNB1,RND2
PLXNB1,RND3
PLXNB1,RND1
PLXNB1,ARHGEF11
SFTPD,DCN
GRB2,NEU3
NEU3,GRB2
EP300,N4BP2
N4BP2,BCL3
NEDD4,SGK1
TGFB3,TGFBR2
LDB1,LMO2
LDB1,LMO4
LMO4,LDB1
PML,CCNT1
CCNT1,PML
CCNT1,PML
HBEGF,EGFR
MYH10,PBX1
PBX1,Myh10
BAG1,PPP1R15A
PPP1R15A,BAG1
PPP1R15A,HSPA8
PPP1R15A,PPP1CA
SIN3A,ARID4B
SIN3A,HDAC1
SIN3A,HDAC2
SIN3A,SUDS3
SIN3A,SAP30
SIN3A,SAP130
SIN3A,HDAC1
SIN3A,HDAC2
SIN3A,SUDS3
SAP130,SIN3A
SAP130,HDAC1
SAP130,HDAC2
SAP130,SUDS3
ARID4B,HDAC1
ARID4B,HDAC2
ARID4B,SUDS3
ARID4B,SIN3A
SUDS3,HDAC1
SUDS3,HDAC2
SUDS3,SIN3A
ARID4B,SAP130
GATA1,FLI1
FLI1,GATA1
NMD3,XPO1
NMD3,XPO1
ADRB1,GIPC1
OGT,TRAK1
UPF1,UPF2
UPF1,PABPC1
UPF1,UPF2
UPF1,UPF3A
UPF1,UPF3B
TNNI3K,MYBPC3
TNNI3K,ACTC1
TNNI3K,ACTA1
TNNI3K,FABP3
TNNI3K,HADHB
TNNI3,TNNI3K
TNFSF13B,TNFRSF17
TNFSF13B,TNFRSF13C
MUS81,EME1
CTDSP1,POLR2A
CTDSP2,POLR2A
RHAG,ANK1
SUPT5H,PRMT5
SUPT5H,SUPT4H1
PRMT1,SUPT5H
PRMT5,SUPT5H
SUPT5H,PRMT1
SUPT5H,PRMT5
ATF3,SMAD3
SMAD3,ATF3
PEX26,PEX1
PEX26,PEX6
PEX26,PEX1
PEX26,PEX6
SPRY4,RAF1
SPRY2,RAF1
MCFD2,LMAN1
PAWR,THAP1
THAP1,PAWR
NGFR,MAGED1
NGFR,NDN
ADAMTS1,VEGFA
VEGFA,KDR
ADAMTS1,VEGFA
ADAMTS1,VEGFA
GADD45G,GADD45GIP1
GADD45B,GADD45GIP1
GADD45A,GADD45GIP1
PIAS2,STAT4
BCAR1,PTPN12
DLG4,LRP2
LRP2,DLG4
CTNNB1,CBY1
CBY1,CTNNB1
SUV39H1,DNMT3A
DNMT3A,SUV39H1
DNMT1,SUV39H1
DNMT1,CBX1
DNMT3A,CBX1
RB1,CBX1
DHX9,TOP2A
MBD1,SUV39H1
MBD1,SUV39H1
MBD1,CBX5
MBD1,CBX5
MBD1,SUV39H1
MBD1,CBX5
SOX2,PAX6
PAX6,SOX2
F2,SERPINE1
EGFR,TJP1
PKP3,DSG1
PKP3,DSG2
PKP3,DSG3
PKP3,DSC1
PKP3,DSC2
PKP3,DSC3
PKP3,JUP
PKP3,KRT18
PKP3,DSP
CTNND1,CDH1
PKP3,DSG1
PKP3,DSG2
PKP3,DSG3
PKP3,DSC3
CEBPB,RELA
IL6ST,CNTFR
LIFR,CNTFR
CNTFR,LIFR
CNTFR,IL6ST
DDIT3,CEBPB
DDIT3,CEBPB
HEXB,HEXB
UBL5,CLK4
UBL5,CLK1
UBL5,CLK2
UBL5,CLK4
UBL5,HSPB2
UBE2N,RNF128
GNAQ,PIK3CA
GNAQ,PIK3R1
RYR1,FKBP1A
TP53,Hipk1
HIPK1,TP53
HIPK1,TP53
TP53,HIPK1
MBD4,FADD
FADD,MBD4
FADD,MBD4
S100A7,COPS5
COPS5,S100A7
MEF2BNB-MEF2B,CABIN1
PTPRZ1,CNTN1
BARD1,BRCA1
RELA,BRCA1
TERT,SMG6
TERT,SMG5
GRB10,IGF1R
IGF1R,GRB10
IGF1R,NEDD4
TOPBP1,E2F1
CHAF1A,MBD1
MBD1,CHAF1A
CBX5,CHAF1A
CBX5,MBD1
CHAF1B,CBX5
SRC,PLD2
SRC,PLD1
SRC,PLD2
PLD2,SRC
MAPK1,MAP2K1
MAP2K1,MAPK1
MAP2K6,MAPK14
MAPK14,MAPK1
MAPK14,MAPK3
ATM,TP53BP1
CCK,CCKBR
4-Sep,SNCA
2-Sep,SNCA
TES,VASP
TES,ACTA1
TES,ENAH
TES,VASP
TES,ENAH
TES,ZYX
MCM2,MCM6
MCM2,MCM7
MCM4,MCM2
MCM4,MCM6
MCM4,MCM7
MCM6,MCM2
MCM6,MCM6
MCM6,MCM7
MCM7,MCM2
MCM7,MCM7
MCM2,MCM6
CLEC3B,PLAT
CLEC3B,HGF
CAV1,EDNRB
CAV1,EDNRB
SLC24A1,SLC24A1
SLC24A1,CNGA1
HMGA2,RELA
HMGA2,NFKB1
HMGA2,NFKB1
SLN,ATP2A1
SLN,PLN
TP63,GNB2L1
TP63,HNRNPAB
TP63,SCAF4
HNRNPAB,TP63
PSMD2,UBE3C
PSMC5,UBE3C
PSMD6,UBE3C
UBE3C,CAND2
CD47,BNIP3
CD47,BNIP3
CD2,SH3KBP1
CD2,CD2AP
CD2AP,CAPZA1
AURKB,RACGAP1
EXOC7,RHOQ
EXOC4,EXOC3
EXOC4,EXOC7
TRIM28,TRIM28
TRIM28,TRIM24
TRIM24,TRIM24
TRIM28,TRIM28
ZNF74,TRIM28
CALB1,RANBP9
CALB1,RANBP9
FADD,NACA
NACA,FADD
NACA,FADD
CAST,CAPN1
PRKCA,KLF5
KLF5,CREBBP
PA2G4,HDAC2
AR,AR
RB1,PELP1
RB1,PELP1
HTR2A,DLG4
ITCH,NUMB
NUMB,ITCH
ITCH,NUMB
VHL,ZNF197
VHL,ZNF197
VHL,ZNF197
HIF1A,ZNF197
HIF1A,VHL
ZNF197,TRIM28
VHL,TRIM28
ZNF197,TRIM28
NGFR,PRKACB
PRKACB,NGFR
PRKACB,NGFR
GNA13,ARHGEF1
ARHGEF1,GNA13
BNIPL,GFER
BNIPL,MIF
BNIPL,MIF
BNIPL,GFER
BNIPL,MIF
BNIPL,GFER
TRAPPC2,CLIC1
TRAPPC2,CLIC2
TRAPPC2,CLIC1
ADRBK1,PRKCB
BTK,PRKCB
ADRBK1,PRKCB
CES1,CES1
PRKRIP1,EIF2AK2
CBX4,CTBP1
CDCA3,SKP1
CDCA3,SKP1
CDCA3,CUL1
CDCA3,WEE1
FERMT2,FBLIM1
FERMT2,FBLIM1
FBLIM1,FERMT2
FBLIM1,FLNA
FBLIM1,FLNA
TIMM44,HSPA4
LNPEP,FHOD1
ERVW-1,HYAL2
HSP90AA1,NOS3
NOS3,HSP90AA1
GUCY1B3,NOS3
GUCY1B3,HSP90AA1
GUCY1B3,NOS3
GUCY1B3,HSP90AA1
NOS3,GUCY1B3
HSP90AA1,GUCY1B3
ITPR1,EPB41L1
EPB41L1,ITPR1
ITPR1,EPB41L1
SDC2,EPB41L1
SDC2,ITPR1
SDC2,CASK
EXOC4,DLG4
DLG4,EXOC4
DLG4,EXOC4
PRKAR2A,AKAP13
PRKAR2A,AKAP7
PRKAR2A,AKAP5
PRKAR2A,AKAP6
PRKAR2A,AKAP2
PRKAR2A,AKAP11
PRKAR2A,AKAP9
PRKAR2A,RAB32
PGR,KLF9
KLF9,PGR
ENAH,ZYX
ABI1,ENAH
ABI1,ABL1
NFKBIB,RELA
NFKBIB,RELA
NKIRAS1,NFKBIB
SNCA,SLC6A3
SLC6A3,SNCA
MAT2A,MAT2B
PARP9,DTX3L
DTX3L,UBE2D1
DTX3L,UBE2D2
DTX3L,UBE2D3
DTX3L,DTX3L
DTX1,DTX3L
RGS7,GNAQ
HCFC1,SIN3A
HCFC1,HDAC1
HCFC1,HDAC2
HCFC1,SUDS3
HCFC1,RBBP4
HCFC1,RBBP7
HCFC1,SETD1A
HCFC1,ASCL2
HCFC1,WDR5
HCFC1,OGT
HCFC1,HSP90AA1
HCFC1,HSPA4
HCFC1,HSPA8
HCFC1,SP1
HCFC1,SP1
HCFC1,SIN3A
HCFC1,SIN3B
HCFC1,OGT
HCFC1,HDAC1
HCFC1,HDAC2
HCFC1,SUDS3
SIN3A,HCFC1
RELN,LRP8
RELN,VLDLR
EMD,ACTG2
EMD,LMNA
EMD,LMNB1
EMD,ACTG2
PPIA,JAK2
PRLR,PPIA
PRLR,PPIA
MTMR2,SBF1
MTMR2,SBF1
SBF1,MTMR2
MTMR2,MTMR2
ADAM17,DLG1
DLG1,ADAM17
PPP4R2,DDX20
PPP4R2,GEMIN4
GEMIN4,DDX20
GEMIN4,PPP4C
GEMIN4,PPP4R2
SMN1,GEMIN2
SMN1,DDX20
SMN1,GEMIN4
SMN1,PPP4C
PPP4R2,DDX20
PPP4R2,GEMIN4
PPP4R2,PPP4C
BIN1,SNX4
NPHS1,YES1
NPHS1,FYN
FYN,NPHS1
FYN,NPHS1
FYN,NPHS1
PAX3,SOX10
SOX10,PAX3
PAX3,SOX10
PDLIM5,CACNA1B
RELA,HMGB1
GTF2E2,GTF2B
GTF2E2,GTF2E1
GTF2E2,POLR2A
MBD1,ATF7IP
MBD1,ATF7IP
HMGA1,SP1
HMGA1,SP1
HMGA1,CEBPB
CEBPB,SP1
CEBPB,HMGA1
MBD2,DHX9
HINFP,DHX9
HINFP,DHX9
HINFP,HDAC1
TBP,TAF4
TBP,TAF6
TBP,TAF7
TBP,TAF7L
TAF7L,TAF1
PRKCE,VDAC1
PRKCE,SLC25A4
PRKCE,HK2
PRKCE,VDAC1
PRKCE,VDAC1
KIRREL,KIRREL
KIRREL,NPHS1
NPHS1,NPHS1
KAT2B,TRRAP
KAT2B,TAF5L
KAT2B,SUPT3H
KAT2B,TAF9
MYC,TRRAP
MYC,KAT2B
MYC,SUPT3H
MYC,TAF9
MYC,KAT2B
MYC,TADA2A
MYC,SUPT3H
MYC,TAF9
MYC,TAF5
MYC,MED12
MYC,MED14
MYC,POLR2A
MYC,GTF2B
MYC,SAP130
MYC,TRRAP
MYC,SAP130
MYC,KAT2B
MYC,TAF5L
MYC,TAF6L
MYC,TADA2A
MYC,TADA3
MYC,SUPT3H
MYC,TAF9
MYC,TAF10
MYC,TAF12
ESR1,SAFB2
SAFB2,ESR1
SAFB,SAFB2
SAFB2,SORBS3
DIABLO,XIAP
DIABLO,BIRC5
DIABLO,BIRC5
H2AFZ,INCENP
H2AFZ,INCENP
S100A10,TRPV5
S100A10,TRPV5
S100A10,TRPV6
TRPV5,S100A10
TRPV5,ANXA2
SNAPIN,RGS7
SNAPIN,RGS7
RGS7,SNAPIN
SNAPIN,RGS7
TP53RK,TPRKB
TP53RK,TPRKB
TPRKB,TP53RK
TPRKB,RAD52
TP53RK,TP53
ZHX1,ZMYND11
ZHX1,ATXN1
ZHX1,EFNA2
ZHX1,ELL
ZHX1,ZHX1
ZHX1,ZYX
ZHX3,ZHX1
ZHX1,ZHX3
ZHX3,ZHX3
ZHX3,ZHX3
SORBS3,DLG5
SORBS3,DLG5
SORBS3,DLG5
DLG5,CTNNB1
KDM5B,PAX9
KDM5B,FOXG1
RAB1A,GOLGA5
IMP3,MPHOSPH10
IMP4,MPHOSPH10
RCHY1,TP53
RCHY1,TP53
GNAS,RIC8A
GNAQ,RIC8A
RIC8A,GNAQ
RIC8A,GNAS
PLK2,CIB1
STX1A,ATP6V1B1
STX1A,SNAP23
STX1A,VAPB
STX2,SNAP23
STX2,VAPB
STX5,SNAP23
STX5,VAPB
STX4,SNAP23
STX4,VAPB
EZR,SCYL3
SMAD3,ERBB2IP
SMAD3,PARD3B
SMAD3,DVL1
SMAD1,PARD3B
SMAD1,DVL1
SMAD1,ERBB2IP
SMAD2,PARD3B
SMAD2,DVL1
SMAD2,ERBB2IP
SMAD3,PARD3B
SMAD3,DVL1
SMAD3,ERBB2IP
SMAD4,PARD3B
SMAD4,DVL1
SMAD4,ERBB2IP
SMAD7,PARD3B
SMAD7,DVL1
SMAD7,ERBB2IP
PAK1,RAC1
PAK1,CDC42
ARHGAP15,RAC1
ATP6V0A4,PFKM
ATP6V0A4,PFKM
PRKCD,PLSCR3
TLR3,MYD88
TLR4,MYD88
AP2M1,CD22
CD22,AP2A1
PLD2,PLCG1
PLCG1,PLD2
SPINK7,MT2A
SPINK7,MT1H
SPINK7,MT1G
SPINK7,FTL
SPINK7,EPB42
SPINK7,MRPS12
SPINK7,C9orf86
SPINK7,HBA1
SPINK7,MT2A
SPINK7,MT2A
MDM2,NUMB
NUMB,MDM2
MDM2,NUMB
MVD,HSPA9
MVD,HSPA9
MVD,BTAF1
DAB1,SIAH1
SIAH1,DAB1
SIAH1,DAB1
DAB1,SIAH1
DAB1,SIAH1
ZNF622,MYBL2
MYBL2,ZNF622
HSP90AA1,MYC
NOTCH1,RBPJ
AP2M1,ADRA1B
ADRA1B,AP2M1
IL6R,IL6
IL6R,CNTF
IL6R,CNTF
EN2,FOXA2
HOXA5,FOXA2
LHX1,FOXA2
GSC,FOXA2
OTX2,FOXA2
UBE2A,TP53
UBE2A,MDM2
UBE2A,CDKN2A
UBE2A,TP53
FYN,CTNNB1
FER,CTNNB1
CTNNB1,CTNNA1
CTNNB1,CDH1
CTNND1,CDH1
CTNND1,FYN
CTNND1,SRC
CTNND1,YES1
FYN,CTNND1
FYN,CDH1
CDH1,CTNND1
CDH1,FYN
CDH1,FER
CDH1,YES1
YES1,CTNND1
YES1,FYN
PARP3,PARP1
PSEN1,PSENEN
RAB8B,CDH1
RAB8B,CDH2
RAB8B,TES
RAB8B,CTNNB1
RAB8B,JUP
RAB8B,TJP1
RAB8B,ITGB1
RAB8B,VIM
RAB8B,OCLN
RAB8B,TUBG1
RAB8B,ACTB
RAB8B,PXN
RAB8B,TUBA1A
RAB8B,TUBB
RET,STAT3
ERN1,ERN1
HSPA5,ERN1
MAPK7,GJA1
GJA1,MAPK7
GGA1,ARF1
CDON,CTNNB1
CDON,CDH1
CDH1,CDON
CDH1,CTNNB1
BOC,CDH1
BOC,CTNNB1
BOC,CDH2
CDON,CDH2
PTMA,HDAC1
PTMA,HDAC2
PTMA,NCOR1
PTMA,SIN3A
RBM7,SF3B2
RBM7,SRSF3
RBM7,SF3B2
RBM7,SRSF3
PRKAR1B,PRKAR1B
PRKAR1B,PRKAR1B
PRKAR1A,PRKAR1A
PRKAR1A,PRKAR1A
PRKAR1B,PRKAR1A
AKAP1,PRKAR1B
PCNA,WRN
WRN,PCNA
UBE2I,PPM1J
KPNA2,SGK1
SGK1,KPNA2
SGK1,KPNA2
OBSCN,ANK1
PPFIA4,GIT1
GIT1,PPFIA4
GIT1,PPFIA1
GIT1,PPFIA1
GRIP2,PPFIA1
GRIP2,GIT1
GIT1,PPFIA1
GIT1,PTK2
GIT1,PTK2B
GIT1,PTPRF
GIT1,PXN
AMIGO1,AMIGO1
AMIGO1,AMIGO2
AMIGO1,AMIGO3
AMIGO2,AMIGO1
AMIGO2,AMIGO2
AMIGO2,AMIGO3
AMIGO3,AMIGO1
AMIGO3,AMIGO2
AMIGO3,AMIGO3
NCOR1,HDAC3
NCOR1,TBL1XR1
NCOR1,CORO2A
NCOR1,GPS2
NCOR1,TBL1X
TBL1X,NCOR1
TBL1X,NCOR2
HDAC3,NCOR1
HDAC3,NCOR2
CORO2A,NCOR1
TBL1X,NCOR1
TBL1XR1,NCOR1
NCOR1,TBL1X
NCOR1,TBL1XR1
TBL1X,HIST2H2BE
TBL1X,HIST2H4A
TBL1XR1,HIST2H4A
TBL1XR1,HIST2H2BE
TBL1X,HIST2H2AA3
TBL1X,HIST2H3C
SGK1,CAMKK2
PHB,ANXA2
PHB,ANXA2
PHB,ACTN1
PHB,ANXA2
SOS1,HRAS
NME1,SET
SET,NME1
PARK2,FBXW7
FBXW7,PARK2
FBXW7,PARK2
PARK2,CUL1
PARK2,CUL1
SKP1,FBXW7
SKP1,CUL1
SKP1,RBX1
PARK2,CCNE1
PARK2,CCNA1
ARHGEF7,SHANK3
ARHGEF7,SHANK2
ARHGEF7,SHANK2
SHANK1,ARHGEF7
SHANK2,ARHGEF7
SHANK3,ARHGEF7
SHANK1,ARHGEF7
RFX1,NFIX
RFX1,NFIB
RFX1,NFIC
ADRBK1,PDE6G
ADRBK1,SRC
SRC,PDE6G
SRC,ADRBK1
SRC,GRB2
PDE6G,SRC
PDE6G,ADRBK1
PDE6G,ADRBK1
PDE6G,SRC
PDE6G,GRB2
PDE6G,DNM2
EXOC2,RALA
DRD5,GNA13
DRD5,GNA12
PML,SRF
PML,CREBBP
PML,CREBBP
PML,SRF
SRF,CREBBP
SRF,PML
CREBBP,PML
CREBBP,SRF
AP2M1,CLEC4M
HSF1,RALBP1
HSF1,RALBP1
HSF1,RALBP1
HSP90AA1,RALBP1
HSP90AA1,HSF1
HSP90AA1,TUBA1A
TBP,SNAPC4
PTEN,UBE2L3
PTEN,UBE2I
PTEN,TP53
TP53,PTEN
TP53,MDM2
YEATS4,TACC2
TACC2,YEATS4
TACC2,SMARCB1
ARAF,TH1L
ARAF,PRPF6
ARAF,EFEMP1
ARAF,TIMM44
ARAF,PBK
ARAF,RRAS
RAF1,YWHAB
RAF1,HRAS
RAF1,OIP5
RAF1,PHKA2
RAF1,CCT3
ARAF,RABGGTB
SIRT2,TUBB
CTTN,WIPF1
CTTN,WIPF1
YWHAB,RPS6KA1
RPS6KA1,YWHAB
LGALS1,MUC16
PTPRB,MAGI3
PTPRB,MAGI3
PKP4,DSP
PKP4,CDH1
PKP4,CDH2
SREBF1,UBE2I
SREBF2,UBE2I
RFWD2,RFWD2
JUN,RFWD2
JUND,RFWD2
BCAR1,DOCK1
CRK,DOCK1
GRB2,DOCK1
CRK,BCAR1
CRK,DOCK1
CRK,SRC
BCAR1,SRC
BCAR1,DOCK1
BCAR1,CRK
DOCK1,CRK
DOCK1,SRC
DOCK1,BCAR1
PTK2,BCAR1
PTK2,DOCK1
PTK2,SRC
PTK2,CRK
RRM2B,TP53
RRM2,TP53
SH3YL1,HELZ
SH3YL1,SH3D19
SH3D19,SH3YL1
ABCC2,SLC9A3R1
ABCC2,PDZD3
